date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2013-02-01,2013,2,0,0,1,0,5,0,2,0,4,2,5,1,1,1,0,0,4,0,0,1,23,23,27,586,0.0,0.0,0.0017064846416382,0.0,0.0085324232081911,0.0,0.0034129692832764,0.0,0.0068259385665529,0.0034129692832764,0.0085324232081911,0.0017064846416382,0.0017064846416382,0.0017064846416382,0.0,0.0,0.0068259385665529,0.0,0.0,0.0017064846416382
2013-03-01,2013,3,3,1,2,1,6,0,1,0,1,0,5,2,0,1,0,0,2,0,0,0,21,21,25,537,0.0055865921787709,0.0018621973929236,0.0037243947858473,0.0018621973929236,0.0111731843575419,0.0,0.0018621973929236,0.0,0.0018621973929236,0.0,0.0093109869646182,0.0037243947858473,0.0,0.0018621973929236,0.0,0.0,0.0037243947858473,0.0,0.0,0.0
2013-04-01,2013,4,4,1,3,1,10,0,3,0,3,0,7,1,0,0,1,1,1,0,1,0,35,35,37,1278,0.0031298904538341,0.0007824726134585,0.0023474178403755,0.0007824726134585,0.0078247261345852,0.0,0.0023474178403755,0.0,0.0023474178403755,0.0,0.0054773082942097,0.0007824726134585,0.0,0.0,0.0007824726134585,0.0007824726134585,0.0007824726134585,0.0,0.0007824726134585,0.0
2013-05-01,2013,5,10,1,2,0,8,0,4,0,5,0,11,3,0,0,2,3,2,0,0,1,47,47,52,1392,0.007183908045977,0.0007183908045977,0.0014367816091954,0.0,0.0057471264367816,0.0,0.0028735632183908,0.0,0.0035919540229885,0.0,0.0079022988505747,0.0021551724137931,0.0,0.0,0.0014367816091954,0.0021551724137931,0.0014367816091954,0.0,0.0,0.0007183908045977
2013-06-01,2013,6,8,0,1,0,15,1,1,0,9,7,7,1,2,2,2,2,0,5,0,0,55,55,63,1337,0.0059835452505609,0.0,0.0007479431563201,0.0,0.0112191473448017,0.0007479431563201,0.0007479431563201,0.0,0.006731488406881,0.0052356020942408,0.0052356020942408,0.0007479431563201,0.0014958863126402,0.0014958863126402,0.0014958863126402,0.0014958863126402,0.0,0.0037397157816005,0.0,0.0
2013-07-01,2013,7,4,0,2,4,7,0,4,0,6,2,4,3,0,2,1,4,1,2,0,1,45,45,47,1498,0.0026702269692923,0.0,0.0013351134846461,0.0026702269692923,0.0046728971962616,0.0,0.0026702269692923,0.0,0.0040053404539385,0.0013351134846461,0.0026702269692923,0.0020026702269692,0.0,0.0013351134846461,0.000667556742323,0.0026702269692923,0.000667556742323,0.0013351134846461,0.0,0.000667556742323
2013-08-01,2013,8,6,0,1,1,10,3,10,0,13,4,7,1,0,2,1,3,2,1,3,0,62,62,68,1527,0.0039292730844793,0.0,0.0006548788474132,0.0006548788474132,0.0065487884741322,0.0019646365422396,0.0065487884741322,0.0,0.0085134250163719,0.0026195153896529,0.0045841519318926,0.0006548788474132,0.0,0.0013097576948264,0.0006548788474132,0.0019646365422396,0.0013097576948264,0.0006548788474132,0.0019646365422396,0.0
2013-09-01,2013,9,7,0,1,0,18,0,9,0,11,1,6,2,2,2,1,3,2,0,0,1,58,58,66,1515,0.0046204620462046,0.0,0.0006600660066006,0.0,0.0118811881188118,0.0,0.0059405940594059,0.0,0.0072607260726072,0.0006600660066006,0.0039603960396039,0.0013201320132013,0.0013201320132013,0.0013201320132013,0.0006600660066006,0.0019801980198019,0.0013201320132013,0.0,0.0,0.0006600660066006
2013-10-01,2013,10,11,1,0,0,24,0,2,0,16,1,6,4,0,2,2,0,1,0,1,0,65,65,71,1394,0.0078909612625538,0.0007173601147776,0.0,0.0,0.0172166427546628,0.0,0.0014347202295552,0.0,0.0114777618364418,0.0007173601147776,0.0043041606886657,0.0028694404591104,0.0,0.0014347202295552,0.0014347202295552,0.0,0.0007173601147776,0.0,0.0007173601147776,0.0
2013-11-01,2013,11,1,1,3,0,20,0,5,0,11,2,9,1,0,1,1,3,0,0,0,0,51,51,58,1392,0.0007183908045977,0.0007183908045977,0.0021551724137931,0.0,0.014367816091954,0.0,0.0035919540229885,0.0,0.0079022988505747,0.0014367816091954,0.0064655172413793,0.0007183908045977,0.0,0.0007183908045977,0.0007183908045977,0.0021551724137931,0.0,0.0,0.0,0.0
2013-12-01,2013,12,0,0,2,0,7,0,1,0,5,1,4,2,1,1,0,0,1,0,0,1,22,22,26,1294,0.0,0.0,0.0015455950540958,0.0,0.0054095826893353,0.0,0.0007727975270479,0.0,0.0038639876352395,0.0007727975270479,0.0030911901081916,0.0015455950540958,0.0007727975270479,0.0007727975270479,0.0,0.0,0.0007727975270479,0.0,0.0,0.0007727975270479
2014-01-01,2014,1,7,0,1,0,7,0,5,0,6,0,3,0,0,2,0,0,0,0,0,1,30,30,32,1514,0.0046235138705416,0.0,0.0006605019815059,0.0,0.0046235138705416,0.0,0.0033025099075297,0.0,0.0039630118890356,0.0,0.0019815059445178,0.0,0.0,0.0013210039630118,0.0,0.0,0.0,0.0,0.0,0.0006605019815059
2014-02-01,2014,2,3,0,0,1,17,0,3,0,8,1,9,4,0,0,1,2,2,0,2,1,47,47,54,1537,0.0019518542615484,0.0,0.0,0.0006506180871828,0.011060507482108,0.0,0.0019518542615484,0.0,0.0052049446974625,0.0006506180871828,0.0058555627846454,0.0026024723487312,0.0,0.0,0.0006506180871828,0.0013012361743656,0.0013012361743656,0.0,0.0013012361743656,0.0006506180871828
2014-03-01,2014,3,5,0,1,0,18,0,7,0,3,6,4,7,0,4,2,3,0,0,3,1,59,59,64,1530,0.0032679738562091,0.0,0.0006535947712418,0.0,0.0117647058823529,0.0,0.0045751633986928,0.0,0.0019607843137254,0.0039215686274509,0.0026143790849673,0.0045751633986928,0.0,0.0026143790849673,0.0013071895424836,0.0019607843137254,0.0,0.0,0.0019607843137254,0.0006535947712418
2014-04-01,2014,4,22,0,2,1,17,0,5,0,6,3,11,2,0,2,0,0,0,0,0,0,62,62,71,1343,0.0163812360387192,0.0,0.0014892032762472,0.0007446016381236,0.0126582278481012,0.0,0.003723008190618,0.0,0.0044676098287416,0.0022338049143708,0.0081906180193596,0.0014892032762472,0.0,0.0014892032762472,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,2014,5,5,1,3,1,10,1,2,0,7,1,2,3,0,2,0,1,2,1,0,1,36,36,43,1463,0.0034176349965823,0.0006835269993164,0.0020505809979494,0.0006835269993164,0.0068352699931647,0.0006835269993164,0.0013670539986329,0.0,0.0047846889952153,0.0006835269993164,0.0013670539986329,0.0020505809979494,0.0,0.0013670539986329,0.0,0.0006835269993164,0.0013670539986329,0.0006835269993164,0.0,0.0006835269993164
2014-06-01,2014,6,8,1,2,0,12,1,3,1,12,0,4,0,0,4,0,1,2,0,1,2,48,48,54,1437,0.0055671537926235,0.0006958942240779,0.0013917884481558,0.0,0.0083507306889352,0.0006958942240779,0.0020876826722338,0.0006958942240779,0.0083507306889352,0.0,0.0027835768963117,0.0,0.0,0.0027835768963117,0.0,0.0006958942240779,0.0013917884481558,0.0,0.0006958942240779,0.0013917884481558
2014-07-01,2014,7,7,0,3,0,25,3,5,0,9,2,12,1,0,5,2,0,0,0,0,5,66,66,79,1453,0.0048176187198898,0.0,0.0020646937370956,0.0,0.0172057811424638,0.0020646937370956,0.0034411562284927,0.0,0.0061940812112869,0.0013764624913971,0.0082587749483826,0.0006882312456985,0.0,0.0034411562284927,0.0013764624913971,0.0,0.0,0.0,0.0,0.0034411562284927
2014-08-01,2014,8,5,1,1,0,15,1,8,0,9,1,4,1,0,2,0,0,4,1,0,0,46,46,53,1375,0.0036363636363636,0.0007272727272727,0.0007272727272727,0.0,0.0109090909090909,0.0007272727272727,0.0058181818181818,0.0,0.0065454545454545,0.0007272727272727,0.0029090909090909,0.0007272727272727,0.0,0.0014545454545454,0.0,0.0,0.0029090909090909,0.0007272727272727,0.0,0.0
2014-09-01,2014,9,9,0,3,0,16,1,4,0,9,2,6,8,0,2,0,1,1,0,2,1,58,58,65,1461,0.0061601642710472,0.0,0.002053388090349,0.0,0.0109514031485284,0.000684462696783,0.0027378507871321,0.0,0.0061601642710472,0.001368925393566,0.0041067761806981,0.0054757015742642,0.0,0.001368925393566,0.0,0.000684462696783,0.000684462696783,0.0,0.001368925393566,0.000684462696783
2014-10-01,2014,10,22,1,4,1,18,1,6,0,10,2,6,6,1,3,1,3,0,2,0,1,76,76,88,1543,0.0142579390797148,0.000648088139987,0.0025923525599481,0.000648088139987,0.0116655865197666,0.000648088139987,0.0038885288399222,0.0,0.0064808813998703,0.001296176279974,0.0038885288399222,0.0038885288399222,0.000648088139987,0.0019442644199611,0.000648088139987,0.0019442644199611,0.0,0.001296176279974,0.0,0.000648088139987
2014-11-01,2014,11,4,0,2,0,11,0,3,0,8,1,9,5,0,2,1,1,2,0,1,0,45,45,50,1416,0.0028248587570621,0.0,0.001412429378531,0.0,0.0077683615819209,0.0,0.0021186440677966,0.0,0.0056497175141242,0.0007062146892655,0.0063559322033898,0.0035310734463276,0.0,0.001412429378531,0.0007062146892655,0.0007062146892655,0.001412429378531,0.0,0.0007062146892655,0.0
2014-12-01,2014,12,4,0,2,0,18,0,6,0,2,0,8,3,0,1,1,1,1,0,0,0,42,42,47,1304,0.0030674846625766,0.0,0.0015337423312883,0.0,0.013803680981595,0.0,0.004601226993865,0.0,0.0015337423312883,0.0,0.0061349693251533,0.0023006134969325,0.0,0.0007668711656441,0.0007668711656441,0.0007668711656441,0.0007668711656441,0.0,0.0,0.0
2015-01-01,2015,1,4,1,1,0,8,1,3,0,9,0,2,0,3,0,0,1,1,1,0,0,31,31,35,1300,0.003076923076923,0.0007692307692307,0.0007692307692307,0.0,0.0061538461538461,0.0007692307692307,0.0023076923076923,0.0,0.0069230769230769,0.0,0.0015384615384615,0.0,0.0023076923076923,0.0,0.0,0.0007692307692307,0.0007692307692307,0.0007692307692307,0.0,0.0
2015-02-01,2015,2,7,2,1,1,11,0,1,1,4,0,3,2,0,2,0,1,3,0,1,0,37,37,40,1459,0.0047978067169294,0.0013708019191226,0.0006854009595613,0.0006854009595613,0.0075394105551747,0.0,0.0006854009595613,0.0006854009595613,0.0027416038382453,0.0,0.002056202878684,0.0013708019191226,0.0,0.0013708019191226,0.0,0.0006854009595613,0.002056202878684,0.0,0.0006854009595613,0.0
