date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-12-01,2012,12,42,1,3,0,10,0,9,1,15,4,8,2,0,2,0,2,0,0,2,0,88,88,101,4566,0.0091984231274638,0.0002190100744634,0.0006570302233902,0.0,0.0021901007446342,0.0,0.0019710906701708,0.0002190100744634,0.0032851511169513,0.0008760402978537,0.0017520805957074,0.0004380201489268,0.0,0.0004380201489268,0.0,0.0004380201489268,0.0,0.0,0.0004380201489268,0.0
2013-01-01,2013,1,34,0,6,0,16,1,8,0,20,1,10,6,4,1,1,1,0,0,0,1,100,100,110,4339,0.0078359068909887,0.0,0.0013828070984097,0.0,0.0036874855957593,0.0002304678497349,0.0018437427978796,0.0,0.0046093569946992,0.0002304678497349,0.0023046784973496,0.0013828070984097,0.0009218713989398,0.0002304678497349,0.0002304678497349,0.0002304678497349,0.0,0.0,0.0,0.0002304678497349
2013-02-01,2013,2,27,0,3,0,5,0,10,0,11,1,2,2,0,0,1,1,1,0,3,0,60,60,67,3071,0.008791924454575,0.0,0.0009768804949527,0.0,0.0016281341582546,0.0,0.0032562683165092,0.0,0.0035818951481602,0.0003256268316509,0.0006512536633018,0.0006512536633018,0.0,0.0,0.0003256268316509,0.0003256268316509,0.0003256268316509,0.0,0.0009768804949527,0.0
2013-03-01,2013,3,34,1,3,0,8,0,10,2,11,1,7,6,1,5,0,2,3,0,2,0,87,87,96,3289,0.0103374885983581,0.0003040437823046,0.0009121313469139,0.0,0.0024323502584372,0.0,0.0030404378230465,0.0006080875646093,0.0033444816053511,0.0003040437823046,0.0021283064761325,0.0018242626938279,0.0003040437823046,0.0015202189115232,0.0,0.0006080875646093,0.0009121313469139,0.0,0.0006080875646093,0.0
2013-04-01,2013,4,31,0,6,2,8,1,21,0,19,4,7,6,3,0,0,2,0,3,3,1,108,108,117,4432,0.0069945848375451,0.0,0.0013537906137184,0.0004512635379061,0.0018050541516245,0.000225631768953,0.0047382671480144,0.0,0.0042870036101083,0.0009025270758122,0.0015794223826714,0.0013537906137184,0.0006768953068592,0.0,0.0,0.0004512635379061,0.0,0.0006768953068592,0.0006768953068592,0.000225631768953
2013-05-01,2013,5,26,1,2,0,25,0,16,0,21,4,7,5,0,5,7,3,0,0,2,1,106,106,125,4899,0.0053072055521535,0.0002041232904674,0.0004082465809348,0.0,0.005103082261686,0.0,0.003265972647479,0.0,0.0042865890998162,0.0008164931618697,0.001428863033272,0.0010206164523372,0.0,0.0010206164523372,0.001428863033272,0.0006123698714023,0.0,0.0,0.0004082465809348,0.0002041232904674
2013-06-01,2013,6,12,1,3,0,22,0,27,0,18,2,6,4,1,2,4,3,0,0,0,0,95,95,105,4666,0.0025717959708529,0.0002143163309044,0.0006429489927132,0.0,0.0047149592798971,0.0,0.0057865409344192,0.0,0.0038576939562794,0.0004286326618088,0.0012858979854264,0.0008572653236176,0.0002143163309044,0.0004286326618088,0.0008572653236176,0.0006429489927132,0.0,0.0,0.0,0.0
2013-07-01,2013,7,33,1,2,1,8,0,16,0,17,3,3,5,1,3,2,0,2,1,1,1,93,93,100,4783,0.0068994355007317,0.0002090738030524,0.0004181476061049,0.0002090738030524,0.0016725904244198,0.0,0.0033451808488396,0.0,0.0035542546518921,0.0006272214091574,0.0006272214091574,0.0010453690152623,0.0002090738030524,0.0006272214091574,0.0004181476061049,0.0,0.0004181476061049,0.0002090738030524,0.0002090738030524,0.0002090738030524
2013-08-01,2013,8,10,0,11,0,19,2,26,2,20,7,5,2,1,4,1,4,0,0,9,0,101,101,123,4807,0.002080299563137,0.0,0.0022883295194508,0.0,0.0039525691699604,0.0004160599126274,0.0054087788641564,0.0004160599126274,0.0041605991262741,0.0014562096941959,0.0010401497815685,0.0004160599126274,0.0002080299563137,0.0008321198252548,0.0002080299563137,0.0008321198252548,0.0,0.0,0.0018722696068233,0.0
2013-09-01,2013,9,27,1,7,3,20,0,31,1,14,7,8,5,1,4,2,5,0,0,4,1,128,128,141,4772,0.0056580050293378,0.0002095557418273,0.0014668901927912,0.0006286672254819,0.0041911148365465,0.0,0.0064962279966471,0.0002095557418273,0.0029337803855825,0.0014668901927912,0.0016764459346186,0.0010477787091366,0.0002095557418273,0.0008382229673093,0.0004191114836546,0.0010477787091366,0.0,0.0,0.0008382229673093,0.0002095557418273
2013-10-01,2013,10,42,1,7,1,10,1,18,1,12,4,6,9,1,1,0,1,1,1,3,1,111,111,121,4703,0.0089304699128216,0.0002126302360195,0.0014884116521369,0.0002126302360195,0.0021263023601956,0.0002126302360195,0.0038273442483521,0.0002126302360195,0.0025515628322347,0.0008505209440782,0.0012757814161173,0.001913672124176,0.0002126302360195,0.0002126302360195,0.0,0.0002126302360195,0.0002126302360195,0.0002126302360195,0.0006378907080586,0.0002126302360195
2013-11-01,2013,11,15,1,1,3,13,0,24,0,11,6,6,7,1,5,1,2,1,3,3,2,95,95,105,4285,0.0035005834305717,0.0002333722287047,0.0002333722287047,0.0007001166861143,0.0030338389731621,0.0,0.0056009334889148,0.0,0.0025670945157526,0.0014002333722287,0.0014002333722287,0.0016336056009334,0.0002333722287047,0.0011668611435239,0.0002333722287047,0.0004667444574095,0.0002333722287047,0.0007001166861143,0.0007001166861143,0.0004667444574095
2013-12-01,2013,12,12,1,6,0,18,0,13,0,8,1,4,7,1,1,0,1,0,0,1,0,61,61,74,3942,0.0030441400304414,0.0002536783358701,0.0015220700152207,0.0,0.0045662100456621,0.0,0.0032978183663115,0.0,0.0020294266869609,0.0002536783358701,0.0010147133434804,0.0017757483510908,0.0002536783358701,0.0002536783358701,0.0,0.0002536783358701,0.0,0.0,0.0002536783358701,0.0
2014-01-01,2014,1,25,0,6,2,13,1,15,1,11,1,4,4,0,1,0,1,1,0,0,0,80,80,86,4372,0.0057182067703568,0.0,0.0013723696248856,0.0004574565416285,0.0029734675205855,0.0002287282708142,0.003430924062214,0.0002287282708142,0.0025160109789569,0.0002287282708142,0.000914913083257,0.000914913083257,0.0,0.0002287282708142,0.0,0.0002287282708142,0.0002287282708142,0.0,0.0,0.0
2014-02-01,2014,2,32,1,3,0,8,0,22,0,12,2,3,12,0,2,0,0,0,0,2,0,93,93,99,3740,0.0085561497326203,0.0002673796791443,0.0008021390374331,0.0,0.002139037433155,0.0,0.0058823529411764,0.0,0.0032085561497326,0.0005347593582887,0.0008021390374331,0.0032085561497326,0.0,0.0005347593582887,0.0,0.0,0.0,0.0,0.0005347593582887,0.0
2014-03-01,2014,3,26,0,3,0,10,0,12,0,14,6,2,11,0,3,0,1,0,0,1,0,79,79,89,3820,0.006806282722513,0.0,0.0007853403141361,0.0,0.0026178010471204,0.0,0.0031413612565445,0.0,0.0036649214659685,0.0015706806282722,0.000523560209424,0.0028795811518324,0.0,0.0007853403141361,0.0,0.000261780104712,0.0,0.0,0.000261780104712,0.0
2014-04-01,2014,4,49,2,2,0,11,0,24,0,15,4,2,4,1,0,1,0,0,0,2,0,108,108,117,3810,0.0128608923884514,0.000524934383202,0.000524934383202,0.0,0.0028871391076115,0.0,0.0062992125984251,0.0,0.0039370078740157,0.0010498687664041,0.000524934383202,0.0010498687664041,0.000262467191601,0.0,0.000262467191601,0.0,0.0,0.0,0.000524934383202,0.0
2014-05-01,2014,5,32,0,7,0,5,0,33,1,21,9,6,5,0,3,1,2,0,0,3,1,122,122,129,3914,0.0081757792539601,0.0,0.0017884517118037,0.0,0.0012774655084312,0.0,0.0084312723556463,0.0002554931016862,0.0053653551354113,0.0022994379151762,0.0015329586101175,0.0012774655084312,0.0,0.0007664793050587,0.0002554931016862,0.0005109862033725,0.0,0.0,0.0007664793050587,0.0002554931016862
2014-06-01,2014,6,11,0,4,1,19,0,19,2,15,1,6,5,0,3,4,0,0,0,3,0,87,87,93,3762,0.0029239766081871,0.0,0.0010632642211589,0.0002658160552897,0.005050505050505,0.0,0.005050505050505,0.0005316321105794,0.003987240829346,0.0002658160552897,0.0015948963317384,0.0013290802764486,0.0,0.0007974481658692,0.0010632642211589,0.0,0.0,0.0,0.0007974481658692,0.0
2014-07-01,2014,7,16,0,7,0,13,0,24,2,7,1,5,13,0,0,1,3,0,0,3,0,88,88,95,4088,0.0039138943248532,0.0,0.0017123287671232,0.0,0.0031800391389432,0.0,0.0058708414872798,0.0004892367906066,0.0017123287671232,0.0002446183953033,0.0012230919765166,0.0031800391389432,0.0,0.0,0.0002446183953033,0.0007338551859099,0.0,0.0,0.0007338551859099,0.0
2014-08-01,2014,8,78,1,5,0,7,0,14,2,19,1,7,7,0,0,2,2,0,0,1,1,135,135,147,4356,0.0179063360881542,0.0002295684113865,0.0011478420569329,0.0,0.0016069788797061,0.0,0.0032139577594123,0.0004591368227731,0.0043617998163452,0.0002295684113865,0.0016069788797061,0.0016069788797061,0.0,0.0,0.0004591368227731,0.0004591368227731,0.0,0.0,0.0002295684113865,0.0002295684113865
2014-09-01,2014,9,28,1,5,1,9,1,15,1,11,1,7,4,0,0,1,3,0,0,1,0,83,83,89,4305,0.0065040650406504,0.000232288037166,0.0011614401858304,0.000232288037166,0.0020905923344947,0.000232288037166,0.0034843205574912,0.000232288037166,0.0025551684088269,0.000232288037166,0.0016260162601626,0.0009291521486643,0.0,0.0,0.000232288037166,0.0006968641114982,0.0,0.0,0.000232288037166,0.0
2014-10-01,2014,10,41,2,7,0,11,0,13,0,16,1,5,5,2,2,1,0,0,0,1,0,97,97,107,4594,0.0089246843709185,0.0004353504571179,0.0015237265999129,0.0,0.0023944275141488,0.0,0.0028297779712668,0.0,0.0034828036569438,0.0002176752285589,0.0010883761427949,0.0010883761427949,0.0004353504571179,0.0004353504571179,0.0002176752285589,0.0,0.0,0.0,0.0002176752285589,0.0
2014-11-01,2014,11,17,0,2,0,15,0,19,1,12,3,4,8,0,2,2,0,0,0,0,0,74,74,85,4190,0.0040572792362768,0.0,0.0004773269689737,0.0,0.0035799522673031,0.0,0.0045346062052505,0.0002386634844868,0.0028639618138424,0.0007159904534606,0.0009546539379474,0.0019093078758949,0.0,0.0004773269689737,0.0004773269689737,0.0,0.0,0.0,0.0,0.0
2014-12-01,2014,12,13,3,4,0,13,2,14,1,10,0,2,4,0,2,0,1,0,0,1,1,63,63,71,3924,0.0033129459734964,0.0007645259938837,0.001019367991845,0.0,0.0033129459734964,0.0005096839959225,0.0035677879714576,0.0002548419979612,0.0025484199796126,0.0,0.0005096839959225,0.001019367991845,0.0,0.0005096839959225,0.0,0.0002548419979612,0.0,0.0,0.0002548419979612,0.0002548419979612
2015-01-01,2015,1,26,0,6,0,12,0,12,1,6,2,5,5,0,4,0,2,0,0,1,0,72,72,82,4026,0.0064580228514654,0.0,0.0014903129657228,0.0,0.0029806259314456,0.0,0.0029806259314456,0.0002483854942871,0.0014903129657228,0.0004967709885742,0.0012419274714356,0.0012419274714356,0.0,0.0009935419771485,0.0,0.0004967709885742,0.0,0.0,0.0002483854942871,0.0
2015-02-01,2015,2,26,1,5,0,15,0,18,0,14,2,5,9,0,4,0,2,0,0,3,2,95,95,106,3402,0.0076425631981187,0.0002939447383891,0.0014697236919459,0.0,0.0044091710758377,0.0,0.0052910052910052,0.0,0.0041152263374485,0.0005878894767783,0.0014697236919459,0.0026455026455026,0.0,0.0011757789535567,0.0,0.0005878894767783,0.0,0.0,0.0008818342151675,0.0005878894767783
2015-03-01,2015,3,64,0,1,0,14,0,20,0,16,1,3,11,0,1,2,1,0,0,3,0,128,128,137,4199,0.0152417242200523,0.0,0.0002381519409383,0.0,0.0033341271731364,0.0,0.0047630388187663,0.0,0.003810431055013,0.0002381519409383,0.0007144558228149,0.0026196713503215,0.0,0.0002381519409383,0.0004763038818766,0.0002381519409383,0.0,0.0,0.0007144558228149,0.0
2015-04-01,2015,4,75,1,3,0,9,0,15,1,13,1,10,11,0,2,1,2,0,0,0,0,133,133,144,3763,0.0199309061918681,0.0002657454158915,0.0007972362476747,0.0,0.0023917087430241,0.0,0.0039861812383736,0.0002657454158915,0.0034546904065904,0.0002657454158915,0.0026574541589157,0.0029231995748073,0.0,0.0005314908317831,0.0002657454158915,0.0005314908317831,0.0,0.0,0.0,0.0
2015-05-01,2015,5,51,0,3,0,14,3,14,0,21,0,4,3,1,2,2,1,1,0,1,0,116,116,121,3894,0.0130970724191063,0.0,0.0007704160246533,0.0,0.0035952747817154,0.0007704160246533,0.0035952747817154,0.0,0.0053929121725731,0.0,0.0010272213662044,0.0007704160246533,0.0002568053415511,0.0005136106831022,0.0005136106831022,0.0002568053415511,0.0002568053415511,0.0,0.0002568053415511,0.0
2015-06-01,2015,6,31,1,3,1,15,1,18,0,11,3,8,11,0,3,1,3,1,0,0,0,104,104,111,3981,0.0077869881939211,0.0002511931675458,0.0007535795026375,0.0002511931675458,0.0037678975131876,0.0002511931675458,0.0045214770158251,0.0,0.0027631248430042,0.0007535795026375,0.0020095453403667,0.0027631248430042,0.0,0.0007535795026375,0.0002511931675458,0.0007535795026375,0.0002511931675458,0.0,0.0,0.0
2015-07-01,2015,7,37,0,2,2,20,0,11,0,13,1,8,6,0,3,1,3,0,0,0,1,99,99,108,4077,0.0090753004660289,0.0,0.0004905567819475,0.0004905567819475,0.0049055678194751,0.0,0.0026980623007113,0.0,0.0031886190826588,0.0002452783909737,0.00196222712779,0.0014716703458425,0.0,0.0007358351729212,0.0002452783909737,0.0007358351729212,0.0,0.0,0.0,0.0002452783909737
2015-08-01,2015,8,81,0,2,0,10,0,31,4,12,3,9,4,0,0,0,1,1,0,9,1,154,154,168,3999,0.0202550637659414,0.0,0.0005001250312578,0.0,0.002500625156289,0.0,0.0077519379844961,0.0010002500625156,0.0030007501875468,0.0007501875468867,0.0022505626406601,0.0010002500625156,0.0,0.0,0.0,0.0002500625156289,0.0002500625156289,0.0,0.0022505626406601,0.0002500625156289
2015-09-01,2015,9,102,2,5,3,10,5,32,0,20,2,5,6,1,1,0,3,0,0,2,1,186,186,200,3895,0.0261874197689345,0.0005134788189987,0.0012836970474967,0.000770218228498,0.0025673940949935,0.0012836970474967,0.0082156611039794,0.0,0.0051347881899871,0.0005134788189987,0.0012836970474967,0.0015404364569961,0.0002567394094993,0.0002567394094993,0.0,0.000770218228498,0.0,0.0,0.0005134788189987,0.0002567394094993
2015-10-01,2015,10,54,0,10,1,16,0,23,0,26,3,5,3,1,2,8,0,1,0,0,0,138,138,153,4002,0.0134932533733133,0.0,0.0024987506246876,0.0002498750624687,0.0039980009995002,0.0,0.0057471264367816,0.0,0.0064967516241879,0.0007496251874062,0.0012493753123438,0.0007496251874062,0.0002498750624687,0.0004997501249375,0.0019990004997501,0.0,0.0002498750624687,0.0,0.0,0.0
2015-11-01,2015,11,48,0,3,1,18,1,22,0,14,2,7,4,0,1,2,2,0,0,0,0,117,117,125,3622,0.0132523467697404,0.0,0.0008282716731087,0.0002760905577029,0.0049696300386526,0.0002760905577029,0.0060739922694643,0.0,0.0038652678078409,0.0005521811154058,0.0019326339039204,0.0011043622308117,0.0,0.0002760905577029,0.0005521811154058,0.0005521811154058,0.0,0.0,0.0,0.0
2015-12-01,2015,12,21,1,5,2,19,0,12,3,13,4,4,2,0,3,0,0,0,0,1,0,79,79,90,3654,0.0057471264367816,0.0002736726874657,0.0013683634373289,0.0005473453749315,0.00519978106185,0.0,0.0032840722495894,0.0008210180623973,0.0035577449370552,0.0010946907498631,0.0010946907498631,0.0005473453749315,0.0,0.0008210180623973,0.0,0.0,0.0,0.0,0.0002736726874657,0.0
2016-01-01,2016,1,79,0,5,2,17,0,17,2,24,1,3,16,2,4,1,1,0,0,0,1,166,166,175,4001,0.0197450637340664,0.0,0.0012496875781054,0.0004998750312421,0.0042489377655586,0.0,0.0042489377655586,0.0004998750312421,0.0059985003749062,0.000249937515621,0.0007498125468632,0.0039990002499375,0.0004998750312421,0.0009997500624843,0.000249937515621,0.000249937515621,0.0,0.0,0.0,0.000249937515621
