country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,diaspora_activation,diplomatic_mediation,diplomatic_recognition,diplomatic_sanction,diplomatic_statement,diplomatic_visit,economic_aid_assistance,intelligence_counterintelligence,investment,joint_security_force_exercise,media_campaign_intervention,political_process_policy_intervention,professional_cultural_exchange,security_cooperation,security_force_facility_presence,surveillance,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles
Belarus,China,2012-01-01,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4403,4410
Belarus,China,2012-02-01,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,4923,4930
Belarus,China,2012-03-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,4957,4962
Belarus,China,2012-04-01,0,0,0,0,1,0,0,0,0,0,8,0,0,0,2,0,0,0,2,0,0,0,4298,4311
Belarus,China,2012-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4687,4691
Belarus,China,2012-06-01,0,0,0,0,1,0,0,0,0,0,7,1,0,0,4,2,0,0,0,0,0,0,4905,4920
Belarus,China,2012-07-01,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,0,0,4886,4898
Belarus,China,2012-08-01,0,0,0,0,0,0,2,0,0,0,7,0,0,0,4,3,0,0,0,1,0,0,5553,5570
Belarus,China,2012-09-01,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,4993,5005
Belarus,China,2012-10-01,0,0,0,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,5737,5750
Belarus,China,2012-11-01,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,6050,6058
Belarus,China,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,5665,5670
Belarus,China,2013-01-01,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,1,2,0,0,5854,5867
Belarus,China,2013-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,5514,5517
Belarus,China,2013-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,5798,5804
Belarus,China,2013-04-01,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,6110,6117
Belarus,China,2013-05-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,5162,5166
Belarus,China,2013-06-01,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5348,5354
Belarus,China,2013-07-01,0,0,0,0,1,0,1,4,0,0,9,0,0,0,3,0,0,0,0,2,1,0,6380,6401
Belarus,China,2013-08-01,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,6570,6577
Belarus,China,2013-09-01,0,0,0,0,1,0,0,0,0,0,5,0,1,0,7,0,0,0,1,0,0,0,6931,6946
Belarus,China,2013-10-01,0,0,0,0,0,2,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6940,6947
Belarus,China,2013-11-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,6688,6695
Belarus,China,2013-12-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6319,6332
Belarus,China,2014-01-01,0,1,0,0,3,0,0,2,0,0,2,0,0,0,2,0,0,0,3,1,8,0,5922,5944
Belarus,China,2014-02-01,0,0,0,0,0,0,0,1,0,0,6,0,0,0,5,1,0,0,0,0,3,0,5669,5685
Belarus,China,2014-03-01,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0,5802,5810
Belarus,China,2014-04-01,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6223,6230
Belarus,China,2014-05-01,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,1,0,0,0,6500,6509
Belarus,China,2014-06-01,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,1,0,6004,6018
Belarus,China,2014-07-01,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,3,0,5268,5280
Belarus,China,2014-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,5214,5218
Belarus,China,2014-09-01,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,1,0,3,0,5229,5242
Belarus,China,2014-10-01,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,5456,5462
Belarus,China,2014-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4869,4873
Belarus,China,2014-12-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,6,0,5663,5674
Belarus,China,2015-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5280,5283
Belarus,China,2015-02-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,5592,5600
Belarus,China,2015-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,5039,5049
Belarus,China,2015-04-01,0,0,0,0,1,0,1,1,0,0,5,0,0,0,3,0,0,0,1,0,0,0,5489,5501
Belarus,China,2015-05-01,1,0,0,0,0,0,0,13,1,0,12,2,0,0,6,0,0,0,1,0,0,0,5064,5100
Belarus,China,2015-06-01,0,0,0,0,0,2,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,5435,5444
Belarus,China,2015-07-01,0,0,0,0,0,0,0,1,0,0,2,0,0,0,9,1,1,0,0,0,0,0,5512,5526
Belarus,China,2015-08-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5088,5091
Belarus,China,2015-09-01,0,0,0,0,1,0,0,1,0,0,6,0,0,0,4,1,0,0,0,2,0,0,5584,5599
Belarus,China,2015-10-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,6165,6177
Belarus,China,2015-11-01,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,5350,5363
Belarus,China,2015-12-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,1,0,0,0,5398,5411
Belarus,China,2016-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,5041,5045
