country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,diaspora_activation,diplomatic_mediation,diplomatic_recognition,diplomatic_sanction,diplomatic_statement,diplomatic_visit,economic_aid_assistance,intelligence_counterintelligence,investment,joint_security_force_exercise,media_campaign_intervention,political_process_policy_intervention,professional_cultural_exchange,security_cooperation,security_force_facility_presence,surveillance,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles
Belarus,China,2016-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,5569,5573
Belarus,China,2016-03-01,0,0,0,0,0,1,0,0,0,0,8,0,0,0,7,0,0,0,0,1,0,1,5964,5982
Belarus,China,2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,5921,5928
Belarus,China,2016-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,1,0,1,0,0,5480,5496
Belarus,China,2016-06-01,0,0,0,0,0,0,0,3,0,0,3,0,0,1,7,2,0,0,1,0,0,0,5951,5968
Belarus,China,2016-07-01,0,0,0,0,4,1,0,2,1,0,4,0,0,0,9,0,0,1,1,0,0,0,5404,5427
Belarus,China,2016-08-01,0,0,0,0,2,0,0,4,0,0,8,0,0,0,3,1,0,0,0,0,0,0,5953,5971
Belarus,China,2016-09-01,0,0,0,0,1,0,1,5,0,0,6,0,0,4,20,1,0,0,0,1,0,0,5892,5931
Belarus,China,2016-10-01,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,0,0,0,1,0,0,0,5578,5588
Belarus,China,2016-11-01,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,2,0,0,1,0,0,0,5334,5346
Belarus,China,2016-12-01,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,3,0,0,0,0,0,0,5856,5867
Belarus,China,2017-01-01,0,0,0,0,2,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,5825,5835
Belarus,China,2017-02-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,0,0,5890,5902
Belarus,China,2017-03-01,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,6915,6923
Belarus,China,2017-04-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,2,0,0,2,0,1,0,5636,5647
Belarus,China,2017-05-01,0,2,0,0,0,0,1,5,1,0,8,0,0,0,10,1,0,0,1,0,0,0,5388,5417
Belarus,China,2017-06-01,2,0,0,0,0,0,1,4,0,0,3,0,0,0,10,0,0,0,1,0,0,0,5616,5637
Belarus,China,2017-07-01,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,1,0,0,0,5270,5290
Belarus,China,2017-08-01,1,0,0,0,0,0,1,1,0,0,4,0,0,0,11,0,0,0,0,0,0,0,6009,6027
Belarus,China,2017-09-01,0,0,0,0,0,0,0,2,0,0,2,1,0,0,18,0,0,0,1,0,1,0,5641,5666
Belarus,China,2017-10-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,5649,5658
Belarus,China,2017-11-01,0,0,0,0,0,0,0,1,0,1,4,0,0,0,3,0,0,0,1,0,0,0,5677,5687
Belarus,China,2017-12-01,0,0,0,0,0,0,1,0,0,0,7,0,0,0,11,0,0,1,1,0,0,0,5508,5529
Belarus,China,2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,2,0,0,0,6519,6534
Belarus,China,2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,2,0,0,0,6433,6445
Belarus,China,2018-03-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,1,0,1,2,0,0,0,6788,6802
Belarus,China,2018-04-01,1,0,0,0,0,0,0,0,0,0,4,0,0,0,8,6,0,0,4,0,0,0,5821,5844
Belarus,China,2018-05-01,0,0,0,0,0,1,0,9,1,0,8,0,0,0,11,0,0,0,6,1,0,0,6045,6082
Belarus,China,2018-06-01,0,0,0,0,0,0,0,5,0,0,4,1,0,0,11,1,1,0,6,0,0,0,5960,5989
Belarus,China,2018-07-01,1,1,0,0,0,2,0,0,0,0,2,1,0,0,12,1,0,0,4,0,0,0,5736,5760
Belarus,China,2018-08-01,0,0,0,0,0,2,0,2,0,0,3,1,0,0,8,1,0,0,0,0,4,0,6378,6399
Belarus,China,2018-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5711,5727
Belarus,China,2018-10-01,0,0,0,0,0,0,0,2,1,0,3,0,0,0,7,1,0,1,0,0,0,0,6814,6829
Belarus,China,2018-11-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,1,0,0,0,6410,6431
Belarus,China,2018-12-01,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,1,3,0,0,1,6193,6210
Belarus,China,2019-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,1,0,0,1,0,0,0,6123,6144
Belarus,China,2019-02-01,0,0,0,0,0,2,0,0,0,0,4,0,0,0,6,0,0,1,3,0,0,0,6284,6300
Belarus,China,2019-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,2,1,3,0,6805,6825
Belarus,China,2019-04-01,0,0,0,0,1,0,0,5,0,0,5,0,1,0,17,0,0,0,2,0,0,0,7221,7252
Belarus,China,2019-05-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18,0,0,0,3,0,1,0,6652,6676
Belarus,China,2019-06-01,0,0,0,0,0,0,0,9,0,0,2,0,0,0,16,0,0,1,6,0,0,0,6969,7003
Belarus,China,2019-07-01,0,0,0,0,2,0,0,0,0,0,3,0,0,0,15,0,1,0,2,0,0,0,7000,7023
Belarus,China,2019-08-01,0,0,0,0,0,0,0,0,2,0,6,0,0,0,22,0,0,0,5,2,1,0,7001,7039
Belarus,China,2019-09-01,0,0,0,0,0,0,0,1,0,0,6,0,0,0,20,1,0,0,2,0,0,0,6873,6903
Belarus,China,2019-10-01,0,0,0,0,0,0,0,0,1,0,6,2,0,0,16,0,0,0,0,0,0,0,7646,7671
Belarus,China,2019-11-01,0,0,0,0,0,0,0,3,0,0,3,0,0,5,10,0,0,0,4,1,0,0,6688,6714
Belarus,China,2019-12-01,0,0,0,0,0,0,0,0,2,0,2,0,0,0,11,0,0,1,5,0,0,0,6815,6836
Belarus,China,2020-01-01,0,0,0,0,3,4,0,0,4,0,1,0,0,0,7,0,0,0,3,1,0,0,6311,6334
Belarus,China,2020-02-01,0,0,1,0,0,7,0,0,4,0,1,0,0,0,17,1,0,1,1,0,1,0,6227,6261
Belarus,China,2020-03-01,0,0,0,0,0,2,0,0,1,0,1,0,0,0,5,0,0,0,2,0,0,0,6940,6951
Belarus,China,2020-04-01,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,1,0,0,0,0,0,0,7632,7647
Belarus,China,2020-05-01,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7,0,0,1,1,0,0,1,7225,7239
Belarus,China,2020-06-01,0,0,0,0,0,0,0,0,6,0,3,1,0,0,8,0,0,1,1,0,0,1,7375,7396
Belarus,China,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,4,0,0,0,7798,7815
Belarus,China,2020-08-01,0,1,0,0,0,0,1,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,9048,9062
Belarus,China,2020-09-01,0,0,0,0,1,0,0,0,0,0,4,0,0,0,11,0,0,0,3,1,0,0,8730,8750
Belarus,China,2020-10-01,0,0,0,0,0,0,1,1,0,0,1,0,0,0,14,0,0,1,4,0,0,0,7896,7918
Belarus,China,2020-11-01,0,0,0,0,1,0,1,0,0,0,5,0,0,1,10,1,0,0,3,0,0,0,7859,7881
Belarus,China,2020-12-01,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,8195,8205
Belarus,China,2021-01-01,0,0,0,0,1,2,0,1,0,0,4,0,0,0,8,1,0,0,1,0,0,0,7125,7143
Belarus,China,2021-02-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,2,0,0,1,7344,7356
Belarus,China,2021-03-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,1,0,0,0,7910,7926
Belarus,China,2021-04-01,0,0,0,0,0,0,0,0,0,0,7,1,0,0,3,0,0,0,1,0,2,0,7630,7644
Belarus,China,2021-05-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,2,0,1,0,7857,7868
Belarus,China,2021-06-01,0,0,0,0,0,0,3,1,0,0,2,0,0,0,16,1,0,1,0,0,7,0,7627,7658
Belarus,China,2021-07-01,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,0,0,0,2,0,1,0,6434,6446
Belarus,China,2021-08-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,7444,7452
Belarus,China,2021-09-01,0,0,0,0,0,0,1,0,3,0,6,0,0,0,7,0,0,0,2,0,0,0,7235,7254
Belarus,China,2021-10-01,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,7183,7193
Belarus,China,2021-11-01,0,0,0,0,2,0,0,0,1,0,2,0,0,0,5,1,0,0,0,0,2,0,7322,7335
Belarus,China,2021-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,2,0,6518,6526
Belarus,China,2022-01-01,0,0,0,0,0,0,4,1,2,0,3,0,1,0,4,0,0,0,0,1,0,0,5885,5901
Belarus,China,2022-02-01,0,0,3,0,1,1,0,0,0,0,1,1,0,3,2,0,2,2,1,0,0,0,6806,6823
Belarus,China,2022-03-01,0,1,4,0,0,0,2,1,1,0,13,1,0,2,6,2,1,2,0,0,3,0,5851,5890
Belarus,China,2022-04-01,0,0,0,0,2,1,0,4,3,0,9,1,2,0,17,1,0,1,1,1,4,0,5481,5528
Belarus,China,2022-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,5360,5366
Belarus,China,2022-06-01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,5207,5212
Belarus,China,2022-07-01,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,1,0,0,0,1,4,1,4903,4916
Belarus,China,2022-08-01,0,0,0,0,0,0,0,2,0,0,1,6,0,0,7,2,0,0,2,0,1,0,4872,4893
Belarus,China,2022-09-01,0,0,0,0,1,0,1,9,0,0,4,3,0,0,6,7,1,0,2,3,1,0,4667,4705
Belarus,China,2022-10-01,0,0,0,0,0,0,1,2,0,0,1,0,0,0,9,0,0,0,0,0,1,0,5022,5036
Belarus,China,2022-11-01,0,0,0,0,0,0,0,1,1,0,1,1,1,0,5,1,0,0,1,0,1,0,4583,4596
Belarus,China,2022-12-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,5265,5270
Belarus,China,2023-01-01,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,5280,5288
Belarus,China,2023-02-01,1,0,0,0,3,1,3,15,0,0,4,0,0,0,7,1,0,1,0,0,1,0,5002,5039
Belarus,China,2023-03-01,2,0,0,2,2,0,7,14,0,0,4,1,0,0,11,3,1,1,2,1,2,0,5842,5895
Belarus,China,2023-04-01,1,0,0,0,1,1,5,0,0,0,2,0,0,0,4,9,1,0,0,1,1,0,5618,5644
Belarus,China,2023-05-01,0,0,0,1,0,0,1,1,0,0,5,0,0,1,5,0,1,0,1,1,0,0,5914,5931
Belarus,China,2023-06-01,0,1,0,0,0,0,1,1,0,0,4,0,0,0,14,2,0,0,0,1,0,0,6784,6808
Belarus,China,2023-07-01,0,0,0,0,1,0,2,1,0,0,7,1,0,0,10,0,0,2,1,2,0,0,6404,6431
Belarus,China,2023-08-01,0,0,0,0,0,0,1,4,0,0,2,1,0,0,5,13,0,0,0,0,1,0,6579,6606
Belarus,China,2023-09-01,0,0,0,0,1,0,2,0,0,0,2,0,0,0,13,1,0,0,2,4,1,0,6324,6350
Belarus,China,2023-10-01,0,0,0,0,1,0,1,2,0,0,4,0,0,1,5,3,0,0,0,2,1,0,5892,5912
Belarus,China,2023-11-01,0,0,0,0,3,0,0,0,0,0,5,0,0,0,14,0,0,0,0,2,1,0,5580,5605
Belarus,China,2023-12-01,0,0,0,0,2,0,2,5,0,0,7,0,0,0,22,1,0,1,2,0,0,0,5668,5710
Belarus,China,2024-01-01,1,0,0,0,1,0,1,1,0,0,1,0,0,0,10,1,0,0,0,0,0,0,5596,5612
Belarus,China,2024-02-01,0,0,0,0,0,0,1,0,0,0,4,0,0,2,5,1,0,0,0,0,1,0,5931,5945
Belarus,China,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,2,0,0,6084,6096
Belarus,China,2024-04-01,0,0,0,0,1,0,3,0,0,0,4,0,0,0,12,5,0,0,0,0,4,0,6289,6318
Belarus,China,2024-05-01,0,0,0,0,3,1,0,6,0,0,7,0,0,0,21,1,0,1,2,0,1,0,6164,6207
Belarus,China,2024-06-01,1,0,0,0,0,0,1,3,0,0,3,0,1,0,33,1,0,0,0,0,1,0,6031,6075
Belarus,China,2024-07-01,1,0,0,0,1,0,2,15,1,0,8,16,0,0,12,8,1,1,1,0,5,0,6022,6094
Belarus,China,2024-08-01,0,0,0,0,5,0,0,8,0,0,4,0,0,0,16,2,0,0,1,4,1,0,5356,5397
Belarus,China,2024-09-01,0,0,2,0,5,0,0,0,0,0,3,0,0,0,10,4,0,0,0,2,0,0,5640,5666
Belarus,China,2024-10-01,1,0,0,0,2,0,2,2,0,0,4,0,0,0,17,2,0,0,0,0,2,0,5863,5895
Belarus,China,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,3,0,0,0,1,2,0,5668,5692
Belarus,China,2024-12-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,2575,2584
Belarus,China,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,Combined,2012-01-01,0,0,0,0,1,0,0,1,0,0,2,0,1,0,11,1,1,0,0,1,3,0,4388,4410
Belarus,Combined,2012-02-01,1,0,0,0,0,1,2,0,0,0,8,0,1,0,9,1,1,0,0,1,1,0,4904,4930
Belarus,Combined,2012-03-01,0,0,1,0,0,0,2,0,0,0,5,0,0,1,8,4,0,0,0,0,9,0,4932,4962
Belarus,Combined,2012-04-01,0,0,0,0,1,1,0,0,0,0,6,0,0,0,11,2,0,0,2,1,5,0,4282,4311
Belarus,Combined,2012-05-01,1,0,0,0,0,0,0,4,1,0,4,0,0,0,17,0,0,0,0,1,1,0,4662,4691
Belarus,Combined,2012-06-01,0,0,1,0,3,0,1,5,0,0,18,1,0,0,17,3,0,0,0,3,11,0,4857,4920
Belarus,Combined,2012-07-01,0,0,2,0,2,2,1,1,0,1,11,2,0,1,13,3,0,0,0,0,2,0,4857,4898
Belarus,Combined,2012-08-01,1,0,0,0,1,1,4,1,0,0,9,0,0,2,9,5,0,0,0,1,1,0,5535,5570
Belarus,Combined,2012-09-01,1,0,0,0,8,0,0,2,0,0,9,2,0,4,15,1,0,0,3,1,4,0,4955,5005
Belarus,Combined,2012-10-01,0,0,0,0,2,1,2,0,0,0,9,0,1,2,20,3,1,0,1,0,5,0,5703,5750
Belarus,Combined,2012-11-01,0,2,1,0,2,1,1,0,0,0,15,1,0,1,18,2,0,0,1,0,3,0,6010,6058
Belarus,Combined,2012-12-01,3,1,0,0,2,0,1,2,0,0,11,0,1,1,17,0,0,0,2,1,1,0,5627,5670
Belarus,Combined,2013-01-01,1,0,0,0,1,0,0,0,0,0,14,0,0,1,19,4,0,1,1,1,3,0,5821,5867
Belarus,Combined,2013-02-01,0,1,0,0,0,1,0,2,0,0,9,2,0,0,19,1,0,1,1,1,1,0,5478,5517
Belarus,Combined,2013-03-01,0,0,0,0,0,1,0,1,0,0,6,1,0,0,27,1,0,0,0,1,2,0,5764,5804
Belarus,Combined,2013-04-01,1,0,0,0,0,1,0,4,1,0,7,3,0,0,16,6,8,0,2,1,3,0,6064,6117
Belarus,Combined,2013-05-01,0,0,0,0,0,0,0,1,0,0,6,1,0,0,20,5,0,0,1,0,4,0,5128,5166
Belarus,Combined,2013-06-01,1,0,0,0,1,0,1,3,0,0,7,1,1,0,33,4,4,0,0,0,3,0,5295,5354
Belarus,Combined,2013-07-01,1,1,0,0,2,1,1,4,0,0,10,1,0,0,14,0,3,0,1,1,6,0,6355,6401
Belarus,Combined,2013-08-01,0,1,1,0,0,2,0,2,0,0,6,1,0,0,14,5,0,0,0,0,10,0,6535,6577
Belarus,Combined,2013-09-01,0,0,0,0,1,1,1,0,1,0,12,16,2,0,30,2,3,0,1,2,7,0,6867,6946
Belarus,Combined,2013-10-01,3,0,0,0,0,3,0,1,1,0,9,4,1,0,17,1,0,0,2,0,4,0,6901,6947
Belarus,Combined,2013-11-01,1,0,0,0,2,4,0,1,0,1,5,0,0,0,23,1,1,0,1,0,3,0,6652,6695
Belarus,Combined,2013-12-01,2,0,0,0,1,0,0,1,3,1,6,0,2,0,28,1,0,0,0,2,6,0,6279,6332
Belarus,Combined,2014-01-01,4,1,0,0,3,1,1,1,2,1,4,0,2,0,6,2,0,2,2,0,12,0,5900,5944
Belarus,Combined,2014-02-01,0,0,0,0,1,3,1,0,0,0,9,3,2,0,18,5,0,0,0,1,7,0,5635,5685
Belarus,Combined,2014-03-01,3,1,0,0,5,4,0,0,0,1,6,7,1,1,20,2,3,1,0,0,13,1,5741,5810
Belarus,Combined,2014-04-01,2,1,0,0,1,1,7,4,0,1,10,2,1,0,19,5,0,2,0,1,10,0,6163,6230
Belarus,Combined,2014-05-01,2,1,0,0,0,2,4,2,1,0,6,1,8,0,16,1,0,4,2,2,6,0,6451,6509
Belarus,Combined,2014-06-01,2,1,0,0,3,1,1,3,2,0,15,1,1,0,40,3,4,0,1,0,5,1,5934,6018
Belarus,Combined,2014-07-01,5,0,0,0,0,1,0,1,0,0,9,0,1,0,19,4,0,0,0,0,11,0,5229,5280
Belarus,Combined,2014-08-01,1,0,1,0,0,0,2,11,2,0,3,6,2,0,15,0,6,0,1,0,34,0,5134,5218
Belarus,Combined,2014-09-01,0,1,0,0,1,2,2,0,3,0,15,0,1,0,13,4,2,0,1,0,21,2,5174,5242
Belarus,Combined,2014-10-01,7,0,0,0,0,2,0,1,2,0,6,0,2,1,20,2,2,0,1,2,15,0,5399,5462
Belarus,Combined,2014-11-01,3,0,0,0,0,1,0,1,0,0,9,0,0,1,20,3,0,1,1,0,17,1,4815,4873
Belarus,Combined,2014-12-01,1,1,0,0,0,1,1,0,0,0,5,0,2,1,15,6,1,0,0,1,33,0,5606,5674
Belarus,Combined,2015-01-01,1,0,0,0,0,1,2,1,0,0,1,0,0,0,21,1,3,0,1,1,11,0,5239,5283
Belarus,Combined,2015-02-01,3,0,0,0,0,0,2,3,0,0,5,0,2,0,20,2,2,0,1,0,11,1,5548,5600
Belarus,Combined,2015-03-01,1,1,0,0,1,1,0,4,4,0,4,1,1,0,24,1,1,0,2,1,7,1,4994,5049
Belarus,Combined,2015-04-01,4,0,0,0,1,1,3,2,3,0,10,1,2,0,31,2,0,0,0,1,1,1,5438,5501
Belarus,Combined,2015-05-01,4,0,0,0,0,1,2,7,3,0,12,4,1,0,35,3,1,1,4,1,2,0,5019,5100
Belarus,Combined,2015-06-01,2,0,0,0,0,4,4,1,1,0,3,5,1,0,21,2,2,1,1,0,11,0,5385,5444
Belarus,Combined,2015-07-01,0,0,0,0,1,1,0,0,11,0,8,2,0,3,37,1,3,0,0,0,5,0,5454,5526
Belarus,Combined,2015-08-01,1,0,0,0,1,1,3,0,1,1,2,1,0,1,13,1,3,1,2,0,8,0,5051,5091
Belarus,Combined,2015-09-01,1,0,0,0,0,0,1,4,0,1,8,4,1,0,19,2,11,0,0,1,4,1,5541,5599
Belarus,Combined,2015-10-01,3,0,1,0,0,1,2,1,1,0,7,1,0,3,24,6,23,0,1,0,5,0,6098,6177
Belarus,Combined,2015-11-01,2,0,0,0,0,0,0,4,0,0,5,0,0,0,30,2,2,0,0,0,1,0,5317,5363
Belarus,Combined,2015-12-01,2,0,1,0,1,1,0,2,0,1,4,0,0,0,37,4,3,0,1,0,17,0,5337,5411
Belarus,Combined,2016-01-01,0,1,0,0,0,0,1,1,0,0,3,1,0,0,17,0,0,1,2,1,4,0,5013,5045
Belarus,Combined,2016-02-01,2,0,0,0,0,3,2,1,3,0,4,0,0,0,24,3,0,0,0,0,5,0,5526,5573
Belarus,Combined,2016-03-01,1,0,0,0,1,2,0,2,0,0,10,2,1,0,18,2,3,0,0,1,7,1,5931,5982
Belarus,Combined,2016-04-01,4,0,0,0,1,1,1,0,0,0,1,0,2,0,20,2,2,0,0,3,3,0,5888,5928
