country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,diaspora_activation,diplomatic_mediation,diplomatic_recognition,diplomatic_sanction,diplomatic_statement,diplomatic_visit,economic_aid_assistance,intelligence_counterintelligence,investment,joint_security_force_exercise,media_campaign_intervention,political_process_policy_intervention,professional_cultural_exchange,security_cooperation,security_force_facility_presence,surveillance,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,diaspora_activationNorm,diplomatic_mediationNorm,diplomatic_recognitionNorm,diplomatic_sanctionNorm,diplomatic_statementNorm,diplomatic_visitNorm,economic_aid_assistanceNorm,intelligence_counterintelligenceNorm,investmentNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,political_process_policy_interventionNorm,professional_cultural_exchangeNorm,security_cooperationNorm,security_force_facility_presenceNorm,surveillanceNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Belarus,China,2014-01-01,0,1,0,0,3,0,0,2,0,0,2,0,0,0,2,0,0,0,3,1,8,0,5922,5944,0,1.6823687752355316e-4,0,0,5.047106325706595e-4,0,0,3.3647375504710633e-4,0,0,3.3647375504710633e-4,0,0,0,3.3647375504710633e-4,0,0,0,5.047106325706595e-4,1.6823687752355316e-4,0.0013458950201884253,0
Belarus,China,2014-02-01,0,0,0,0,0,0,0,1,0,0,6,0,0,0,5,1,0,0,0,0,3,0,5669,5685,0,0,0,0,0,0,0,1.7590149516270889e-4,0,0,0.0010554089709762533,0,0,0,8.795074758135445e-4,1.7590149516270889e-4,0,0,0,0,5.277044854881266e-4,0
Belarus,China,2014-03-01,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0,5802,5810,0,1.7211703958691912e-4,0,0,0,0,0,0,0,0,1.7211703958691912e-4,1.7211703958691912e-4,0,0,3.4423407917383823e-4,0,0,0,0,0,5.163511187607573e-4,0
Belarus,China,2014-04-01,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6223,6230,0,0,0,0,1.6051364365971107e-4,0,0,0,0,0,4.815409309791332e-4,0,0,0,4.815409309791332e-4,0,0,0,0,0,0,0
Belarus,China,2014-05-01,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,1,0,0,0,6499,6508,0,0,0,0,0,0,0,0,0,0,6.146281499692685e-4,0,0,0,4.6097111247695143e-4,1.5365703749231714e-4,0,0,1.5365703749231714e-4,0,0,0
Belarus,China,2014-06-01,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,1,0,6004,6018,0,0,0,0,0,0,0,0,0,0,0.0019940179461615153,0,0,0,1.6616816218012627e-4,0,0,0,0,0,1.6616816218012627e-4,0
Belarus,China,2014-07-01,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,3,0,5268,5280,0,0,0,0,0,0,0,0,0,0,9.46969696969697e-4,0,0,0,5.681818181818182e-4,1.893939393939394e-4,0,0,0,0,5.681818181818182e-4,0
Belarus,China,2014-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,5214,5218,0,0,0,0,0,0,0,0,0,0,0,1.9164430816404754e-4,0,0,3.832886163280951e-4,0,0,0,1.9164430816404754e-4,0,0,0
Belarus,China,2014-09-01,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,1,0,3,0,5227,5240,0,0,0,0,0,0,1.9083969465648855e-4,0,0,0,0.0013358778625954199,0,0,0,1.9083969465648855e-4,0,0,0,1.9083969465648855e-4,0,5.725190839694657e-4,0
Belarus,China,2014-10-01,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,5456,5462,0,0,0,0,0,0,0,0,3.661662394727206e-4,0,1.830831197363603e-4,0,0,0,3.661662394727206e-4,1.830831197363603e-4,0,0,0,0,0,0
Belarus,China,2014-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4869,4873,2.0521239482864764e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0521239482864764e-4,0,0,2.0521239482864764e-4,2.0521239482864764e-4,0,0,0
Belarus,China,2014-12-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,6,0,5662,5673,0,0,0,0,0,0,0,0,0,0,1.7627357659086903e-4,0,0,0,7.050943063634761e-4,0,0,0,0,0,0.0010576414595452142,0
Belarus,China,2015-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5280,5283,0,0,0,0,0,0,0,0,0,0,1.892863903085368e-4,0,0,0,3.785727806170736e-4,0,0,0,0,0,0,0
Belarus,China,2015-02-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,5586,5594,0,0,0,0,0,0,0,0,0,0,3.575259206292456e-4,0,0,0,8.93814801573114e-4,0,0,0,0,0,1.787629603146228e-4,0
Belarus,China,2015-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,5036,5046,0,0,0,0,0,0,0,0,0,0,3.9635354736424893e-4,0,0,0,0.0015854141894569957,0,0,0,0,0,0,0
Belarus,China,2015-04-01,0,0,0,0,1,0,1,1,0,0,5,0,0,0,3,0,0,0,1,0,0,0,5489,5501,0,0,0,0,1.8178512997636792e-4,0,1.8178512997636792e-4,1.8178512997636792e-4,0,0,9.089256498818396e-4,0,0,0,5.453553899291038e-4,0,0,0,1.8178512997636792e-4,0,0,0
