country,date,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
India,2015-06-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
India,2015-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
India,2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
India,2015-10-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2015-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2015-12-01,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
India,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2016-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
India,2016-05-01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
India,2016-06-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
India,2016-07-01,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
India,2016-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
India,2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
India,2016-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2016-11-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2016-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2017-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
India,2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2017-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
India,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2017-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
India,2017-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2017-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
India,2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2017-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2017-11-01,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
India,2017-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2018-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
India,2018-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2018-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
India,2018-06-01,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
India,2018-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2018-08-01,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
India,2018-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
